# Core options worth changing ON A PLAYSTATION 4, per core. ps4/make-site.py reads this and shows
# it on cores.prx0.com under "Recommended settings"; nothing else does.
#
# ⚠ ONLY WHAT THIS PORT CHANGES OR WHAT WAS MEASURED HERE. A core's own defaults are chosen for a
# desktop GPU and a desktop CPU, and some of them are wrong on this console for reasons that are
# ours: Trident's ubershader default is the case that started this file - this port compiles the
# specialised shaders in the background instead, which only pays off with ubershaders off. General
# advice that applies on every platform belongs in the core's own documentation, not here.
#
# Columns, tab-separated (runs of tabs are fine):
#   core       the index name, without _libretro (the same key as core-tested.tsv)
#   key        the option's key in the core's .opt file, so the row can be checked against the
#              core's source; "-" for a RetroArch setting rather than a core option
#   label      what the user sees: the label in Quick Menu -> Options, or the RetroArch menu path
#   value      what to set it to, as the menu shows it - RetroArch shows enabled/disabled as ON/OFF
#   why        one short public sentence
#   evidence   where it was measured or decided. HANDOFF.md is
#              ps4-mesa-docs/docs/retroarch/HANDOFF.md. Not shown on the page.
trident	trident_use_ubershader	Use ubershaders (No stutter, maybe slower)	OFF	The PS4 build draws with the ubershader only while the faster shader compiles in the background; left on, every frame takes the slow path. Off by default from 2026-09-15; an options file saved earlier may still say ON.	HANDOFF.md, "shader-compile stutter", table 3: ubershader ON ~45 ms frames, async 51 frames >40 ms on the same OoT3D route
trident	trident_hash_textures	Hash textures (Better graphics, maybe slower)	ON	Without it Ocarina of Time 3D shows garbled text (upstream Panda3DS issue #800). On by default; the cost was not measurable.	HANDOFF.md, "OoT3D's text is garbled with hash textures OFF"
trident	trident_accelerate_shaders	Run 3DS shaders on the GPU	ON	Off moves vertex shading to the CPU, and the game hung on this console. On by default.	the maintainer, 2026-09-14, A Link Between Worlds hung at start with it disabled
mednafen_psx_hw	beetle_psx_hw_cpu_dynarec	CPU Dynarec	Max Performance	The interpreter runs Spyro 3 at about 38% of full speed here. The default on this console, but an options file saved by an older build can still hold the interpreter.	HANDOFF.md:925-933; beetle-psx-libretro libretro_core_options.h __ORBIS__ default
mednafen_psx_hw	beetle_psx_hw_pgxp_mode	PGXP Operation Mode	OFF	Any PGXP mode turns every main-RAM access into a function call, and it was the largest single cost on this console. Off by default.	HANDOFF.md:1047-1061 'Memory Only -> Disabled the big one', :1172 'THE SMOOTHNESS WAS THE CORE OPTIONS, PRINCIPALLY PGXP'
mednafen_psx_hw	beetle_psx_hw_renderer_software_fb	Software Framebuffer	OFF	Saves host time; a few games use framebuffer effects that need it. On by default.	HANDOFF.md:1066 'Enabled -> Disabled the only visual risk'
mednafen_psx_hw	beetle_psx_hw_dynarec_invalidate	Dynarec Code Invalidation	DMA Only (Slightly Faster)	Part of the set that made Spyro 3 smooth.	HANDOFF.md:1063
mednafen_psx_hw	beetle_psx_hw_dynarec_eventcycles	Dynarec DMA/GPU/MDEC/Timer Event Cycles	512	Part of the set that made Spyro 3 smooth.	HANDOFF.md:1064
mednafen_psx_hw	beetle_psx_hw_dynarec_spgp_opt	Dynarec SP GP Hit RAM Optimization	ON	Part of the set that made Spyro 3 smooth.	HANDOFF.md:1062
mednafen_psx_hw	beetle_psx_hw_internal_resolution	Internal GPU Resolution	2x	The GPU sat idle in every measurement, so upscaling is nearly free; 2x was played at full speed.	HANDOFF.md:1068 'raising it is nearly free', :1191-1203 '2x internal ... 49.78 fps'
mupen64plus_next	mupen64plus-rdp-plugin	RDP Plugin	GLideN64	Angrylion also reaches 60 fps here but draws at native resolution only; GLideN64 ran Shadows of the Empire at 60 fps and can upscale. GLideN64 is the default from 2026-09-15; earlier installs got Angrylion.	HANDOFF.md:1594-1596 '303 frames in 5015 ms = 60.41 fps'; the maintainer, 2026-09-15, Angrylion 60 fps without upscaling
mupen64plus_next	mupen64plus-rsp-plugin	RSP Plugin	HLE	The low-level RSP alone costs more than a whole frame on this CPU. The default.	HANDOFF.md:1594-1601; core-patches/mupen64plus_next/0002
